currentConfirmedCount,provinceName,province_confirmedCount,province_curedCount,province_suspectedCount,updateTime
,宁夏回族自治区,40,1,0,2020-02-06
,安徽省,591,34,0,2020-02-06
,山东省,347,27,0,2020-02-06
,山西省,90,12,0,2020-02-06
,广东省,970,69,0,2020-02-06
,广西壮族自治区,168,14,0,2020-02-06
,新疆维吾尔自治区,36,0,0,2020-02-06
,江苏省,373,34,0,2020-02-06
,江西省,600,37,0,2020-02-06
,河北省,157,13,0,2020-02-06
,河南省,851,56,0,2020-02-06
,浙江省,954,94,0,2020-02-06
,海南省,106,8,0,2020-02-06
,湖北省,19665,712,0,2020-02-06
,湖南省,711,81,0,2020-02-06
,甘肃省,62,6,0,2020-02-06
,福建省,215,14,0,2020-02-06
,贵州省,71,6,0,2020-02-06
,辽宁省,94,5,0,2020-02-06
,重庆市,400,24,0,2020-02-06
,陕西省,173,9,0,2020-02-06
,青海省,18,3,0,2020-02-06
,黑龙江省,227,8,0,2020-02-06
,上海市,277,30,166,2020-02-07
,云南省,136,13,0,2020-02-07
,内蒙古自治区,50,5,0,2020-02-07
,北京市,297,33,0,2020-02-07
,吉林省,65,4,0,2020-02-07
,四川省,344,42,0,2020-02-07
,天津市,81,2,0,2020-02-07
,宁夏回族自治区,43,5,0,2020-02-07
,安徽省,665,47,0,2020-02-07
,山东省,386,37,0,2020-02-07
,山西省,96,15,0,2020-02-07
,广东省,1034,88,0,2020-02-07
,广西壮族自治区,172,17,0,2020-02-07
,新疆维吾尔自治区,39,0,0,2020-02-07
,江苏省,408,43,0,2020-02-07
,江西省,661,45,0,2020-02-07
,河北省,172,22,0,2020-02-07
,河南省,914,86,0,2020-02-07
,浙江省,1006,123,0,2020-02-07
,海南省,117,10,0,2020-02-07
,湖北省,22112,867,0,2020-02-07
,湖南省,772,112,0,2020-02-07
,甘肃省,67,9,0,2020-02-07
,福建省,224,20,0,2020-02-07
,贵州省,81,6,0,2020-02-07
,辽宁省,99,7,0,2020-02-07
,重庆市,415,31,0,2020-02-07
,陕西省,184,17,0,2020-02-07
,黑龙江省,277,12,0,2020-02-07
,上海市,286,41,0,2020-02-08
,云南省,138,17,0,2020-02-08
,内蒙古自治区,52,5,0,2020-02-08
,北京市,315,34,0,2020-02-08
,吉林省,69,4,0,2020-02-08
,四川省,364,60,0,2020-02-08
,天津市,88,4,0,2020-02-08
,宁夏回族自治区,45,15,0,2020-02-08
,安徽省,733,59,0,2020-02-08
,山东省,416,44,0,2020-02-08
,山西省,104,20,0,2020-02-08
,广东省,1095,119,0,2020-02-08
,广西壮族自治区,183,17,0,2020-02-08
,新疆维吾尔自治区,42,0,0,2020-02-08
,江苏省,439,51,0,2020-02-08
,江西省,698,55,0,2020-02-08
,河北省,195,30,0,2020-02-08
,河南省,981,116,0,2020-02-08
,浙江省,1048,175,0,2020-02-08
,海南省,124,14,0,2020-02-08
,湖北省,24953,1218,0,2020-02-08
,湖南省,803,156,0,2020-02-08
,甘肃省,79,12,0,2020-02-08
,福建省,239,24,0,2020-02-08
,贵州省,89,7,0,2020-02-08
,辽宁省,105,8,0,2020-02-08
,重庆市,428,39,0,2020-02-08
,陕西省,195,20,0,2020-02-08
,黑龙江省,296,13,0,2020-02-08
,上海市,293,44,0,2020-02-09
,云南省,141,18,146,2020-02-09
,内蒙古自治区,54,5,0,2020-02-09
,北京市,326,37,0,2020-02-09
,吉林省,78,12,0,2020-02-09
,四川省,386,71,0,2020-02-09
,天津市,90,4,0,2020-02-09
,宁夏回族自治区,45,13,0,2020-02-09
,安徽省,779,72,0,2020-02-09
,山东省,444,63,0,2020-02-09
,山西省,115,22,71,2020-02-09
,广东省,1131,141,0,2020-02-09
,广西壮族自治区,195,18,1,2020-02-09
,新疆维吾尔自治区,45,0,0,2020-02-09
,江苏省,468,71,0,2020-02-09
,江西省,740,74,0,2020-02-09
,河北省,206,34,0,2020-02-09
,河南省,1033,153,0,2020-02-09
,浙江省,1075,201,0,2020-02-09
,海南省,131,19,0,2020-02-09
,湖北省,27100,1480,23638,2020-02-09
,湖南省,838,186,0,2020-02-09
,甘肃省,79,15,0,2020-02-09
,福建省,250,35,85,2020-02-09
,贵州省,99,7,0,2020-02-09
,辽宁省,107,12,0,2020-02-09
,重庆市,450,51,0,2020-02-09
,陕西省,208,25,0,2020-02-09
,黑龙江省,307,14,0,2020-02-09
,上海市,299,48,0,2020-02-10
,云南省,149,19,0,2020-02-10
,内蒙古自治区,58,5,0,2020-02-10
,北京市,337,44,0,2020-02-10
,吉林省,80,13,0,2020-02-10
,四川省,405,80,0,2020-02-10
,天津市,95,8,0,2020-02-10
,宁夏回族自治区,49,13,0,2020-02-10
,安徽省,830,88,0,2020-02-10
,山东省,466,66,0,2020-02-10
,山西省,119,25,0,2020-02-10
,广东省,1159,167,0,2020-02-10
,广西壮族自治区,210,24,0,2020-02-10
,新疆维吾尔自治区,49,0,0,2020-02-10
,江苏省,492,81,0,2020-02-10
,江西省,771,105,0,2020-02-10
,河北省,218,41,0,2020-02-10
,河南省,1073,191,0,2020-02-10
,浙江省,1092,242,0,2020-02-10
,海南省,138,19,0,2020-02-10
,湖北省,29631,1854,0,2020-02-10
,湖南省,879,208,0,2020-02-10
,甘肃省,83,17,0,2020-02-10
,福建省,261,39,0,2020-02-10
,贵州省,109,10,0,2020-02-10
,辽宁省,108,13,0,2020-02-10
,重庆市,473,66,0,2020-02-10
,陕西省,213,30,0,2020-02-10
,黑龙江省,331,30,0,2020-02-10
,上海市,303,52,0,2020-02-11
,云南省,153,20,0,2020-02-11
,北京市,342,48,0,2020-02-11
,吉林省,81,18,0,2020-02-11
,四川省,417,85,0,2020-02-11
,天津市,105,10,0,2020-02-11
,宁夏回族自治区,53,22,0,2020-02-11
,安徽省,860,105,0,2020-02-11
,山东省,487,80,0,2020-02-11
,山西省,122,30,0,2020-02-11
,广东省,1177,212,0,2020-02-11
,广西壮族自治区,215,33,0,2020-02-11
,新疆维吾尔自治区,55,3,0,2020-02-11
,江苏省,515,93,0,2020-02-11
,江西省,804,128,0,2020-02-11
,河北省,239,48,0,2020-02-11
,河南省,1105,218,0,2020-02-11
,浙江省,1117,270,0,2020-02-11
,海南省,144,20,0,2020-02-11
,湖北省,31728,2310,0,2020-02-11
,湖南省,912,247,0,2020-02-11
,甘肃省,86,24,0,2020-02-11
,福建省,267,45,0,2020-02-11
,贵州省,127,17,0,2020-02-11
,辽宁省,111,19,0,2020-02-11
,重庆市,489,72,0,2020-02-11
,陕西省,219,32,0,2020-02-11
,青海省,18,5,0,2020-02-11
,黑龙江省,360,28,0,2020-02-11
,上海市,311,57,0,2020-02-12
,云南省,154,26,0,2020-02-12
,内蒙古自治区,60,6,0,2020-02-12
,北京市,352,56,0,2020-02-12
,吉林省,83,22,0,2020-02-12
,四川省,436,92,0,2020-02-12
,天津市,112,11,0,2020-02-12
,宁夏回族自治区,58,24,0,2020-02-12
,安徽省,889,127,0,2020-02-12
,山东省,498,92,0,2020-02-12
,山西省,124,33,0,2020-02-12
,广东省,1219,275,0,2020-02-12
,广西壮族自治区,222,32,0,2020-02-12
,新疆维吾尔自治区,59,3,0,2020-02-12
,江苏省,543,125,0,2020-02-12
,江西省,844,152,0,2020-02-12
,河北省,251,54,0,2020-02-12
,河南省,1135,246,0,2020-02-12
,浙江省,1131,321,0,2020-02-12
,海南省,157,27,0,2020-02-12
,湖北省,33366,2686,0,2020-02-12
,湖南省,946,304,0,2020-02-12
,甘肃省,86,34,0,2020-02-12
,福建省,272,53,0,2020-02-12
,西藏自治区,1,1,0,2020-02-12
,贵州省,133,18,0,2020-02-12
,辽宁省,116,20,0,2020-02-12
,重庆市,509,87,0,2020-02-12
,陕西省,225,43,0,2020-02-12
,青海省,18,9,0,2020-02-12
,黑龙江省,378,31,0,2020-02-12
,上海市,315,62,0,2020-02-13
,云南省,156,27,0,2020-02-13
,内蒙古自治区,61,6,0,2020-02-13
,北京市,366,69,0,2020-02-13
,吉林省,84,24,0,2020-02-13
,四川省,451,104,0,2020-02-13
,天津市,117,21,0,2020-02-13
,宁夏回族自治区,64,24,0,2020-02-13
,安徽省,910,162,0,2020-02-13
,山东省,509,105,0,2020-02-13
,山西省,126,33,0,2020-02-13
,广东省,1241,314,0,2020-02-13
,广西壮族自治区,222,33,0,2020-02-13
,新疆维吾尔自治区,63,6,0,2020-02-13
,江苏省,570,139,0,2020-02-13
,江西省,872,170,0,2020-02-13
,河北省,265,68,0,2020-02-13
,河南省,1169,296,0,2020-02-13
,浙江省,1145,360,0,2020-02-13
,海南省,157,34,0,2020-02-13
,湖北省,48206,3459,0,2020-02-13
,湖南省,968,339,0,2020-02-13
,甘肃省,90,39,0,2020-02-13
,福建省,279,57,0,2020-02-13
,西藏自治区,1,1,0,2020-02-13
,贵州省,135,27,0,2020-02-13
,辽宁省,117,22,0,2020-02-13
,重庆市,525,128,0,2020-02-13
,陕西省,229,46,0,2020-02-13
,青海省,18,11,0,2020-02-13
,黑龙江省,395,33,0,2020-02-13
,上海市,318,90,0,2020-02-14
,云南省,162,36,0,2020-02-14
,内蒙古自治区,65,6,0,2020-02-14
,北京市,372,80,0,2020-02-14
,吉林省,86,25,0,2020-02-14
,四川省,463,114,0,2020-02-14
,天津市,120,31,0,2020-02-14
,宁夏回族自治区,67,24,0,2020-02-14
,安徽省,934,193,0,2020-02-14
,山东省,523,136,0,2020-02-14
,山西省,126,38,0,2020-02-14
,广东省,1261,362,0,2020-02-14
,广西壮族自治区,226,36,0,2020-02-14
,新疆维吾尔自治区,65,6,0,2020-02-14
,江苏省,593,157,0,2020-02-14
,江西省,900,187,0,2020-02-14
,河北省,283,87,0,2020-02-14
,河南省,1184,357,0,2020-02-14
,浙江省,1155,403,0,2020-02-14
,海南省,159,43,0,2020-02-14
,湖北省,51986,4131,0,2020-02-14
,湖南省,988,364,0,2020-02-14
,福建省,281,63,0,2020-02-14
,贵州省,140,28,0,2020-02-14
,辽宁省,119,29,0,2020-02-14
,重庆市,532,139,0,2020-02-14
,陕西省,230,54,0,2020-02-14
,黑龙江省,419,47,0,2020-02-14
,上海市,326,124,0,2020-02-15
,云南省,168,42,0,2020-02-15
,内蒙古自治区,68,7,0,2020-02-15
,北京市,375,98,0,2020-02-15
,吉林省,88,26,0,2020-02-15
,四川省,470,119,0,2020-02-15
,天津市,122,37,0,2020-02-15
,宁夏回族自治区,70,33,0,2020-02-15
,安徽省,950,221,0,2020-02-15
,山东省,532,156,0,2020-02-15
,山西省,127,42,0,2020-02-15
,广东省,1294,410,0,2020-02-15
,广西壮族自治区,235,44,0,2020-02-15
,新疆维吾尔自治区,70,10,0,2020-02-15
,江苏省,604,186,0,2020-02-15
,江西省,913,210,0,2020-02-15
,河北省,291,101,0,2020-02-15
,河南省,1212,391,0,2020-02-15
,浙江省,1162,428,0,2020-02-15
,海南省,162,39,0,2020-02-15
,湖北省,54406,4821,0,2020-02-15
,湖南省,1001,425,0,2020-02-15
,甘肃省,90,49,0,2020-02-15
,福建省,285,71,0,2020-02-15
,西藏自治区,1,1,0,2020-02-15
,贵州省,143,41,0,2020-02-15
,辽宁省,119,31,0,2020-02-15
,重庆市,538,184,0,2020-02-15
,陕西省,232,60,0,2020-02-15
,青海省,18,13,0,2020-02-15
,黑龙江省,425,68,0,2020-02-15
48987.0,湖北省,56249,5666,0,2020-02-16
849.0,广东省,1316,465,0,2020-02-16
778.0,河南省,1231,440,0,2020-02-16
711.0,浙江省,1167,456,0,2020-02-16
701.0,安徽省,962,255,0,2020-02-16
684.0,江西省,925,240,0,2020-02-16
537.0,湖南省,1004,464,0,2020-02-16
399.0,江苏省,617,218,0,2020-02-16
362.0,山东省,537,173,0,2020-02-16
355.0,重庆市,547,187,0,2020-02-16
355.0,黑龙江省,445,79,0,2020-02-16
347.0,四川省,481,131,0,2020-02-16
268.0,北京市,380,108,0,2020-02-16
205.0,福建省,287,82,0,2020-02-16
192.0,河北省,300,105,0,2020-02-16
187.0,上海市,328,140,0,2020-02-16
186.0,广西壮族自治区,237,49,0,2020-02-16
165.0,陕西省,236,71,0,2020-02-16
129.0,云南省,171,42,0,2020-02-16
106.0,海南省,162,52,0,2020-02-16
97.0,贵州省,144,46,0,2020-02-16
80.0,辽宁省,121,40,0,2020-02-16
79.0,山西省,128,49,0,2020-02-16
76.0,天津市,124,45,0,2020-02-16
62.0,内蒙古自治区,70,8,0,2020-02-16
58.0,吉林省,89,30,0,2020-02-16
58.0,新疆维吾尔自治区,71,12,0,2020-02-16
54.0,香港,57,2,0,2020-02-16
37.0,宁夏回族自治区,70,33,0,2020-02-16
34.0,甘肃省,90,54,0,2020-02-16
17.0,台湾,20,2,0,2020-02-16
5.0,澳门,10,5,0,2020-02-16
5.0,青海省,18,13,0,2020-02-16
0.0,西藏自治区,1,1,0,2020-02-16
49793.0,湖北省,58182,6693,0,2020-02-17
794.0,广东省,1322,524,0,2020-02-17
721.0,河南省,1246,509,0,2020-02-17
687.0,安徽省,973,280,0,2020-02-17
664.0,浙江省,1171,507,0,2020-02-17
654.0,江西省,930,275,0,2020-02-17
505.0,湖南省,1006,498,0,2020-02-17
368.0,江苏省,626,258,0,2020-02-17
361.0,黑龙江省,457,85,0,2020-02-17
348.0,山东省,541,191,0,2020-02-17
337.0,重庆市,552,210,0,2020-02-17
336.0,四川省,495,156,0,2020-02-17
263.0,北京市,381,114,0,2020-02-17
200.0,福建省,290,90,0,2020-02-17
183.0,广西壮族自治区,238,53,0,2020-02-17
176.0,河北省,301,122,0,2020-02-17
170.0,上海市,332,161,0,2020-02-17
161.0,陕西省,240,79,0,2020-02-17
124.0,云南省,171,47,0,2020-02-17
100.0,海南省,163,59,0,2020-02-17
88.0,贵州省,146,57,0,2020-02-17
78.0,山西省,129,51,0,2020-02-17
77.0,辽宁省,121,43,0,2020-02-17
76.0,天津市,125,46,0,2020-02-17
64.0,内蒙古自治区,72,8,0,2020-02-17
62.0,新疆维吾尔自治区,75,12,0,2020-02-17
55.0,香港,58,2,0,2020-02-17
54.0,吉林省,89,34,0,2020-02-17
35.0,宁夏回族自治区,70,35,0,2020-02-17
31.0,甘肃省,91,58,0,2020-02-17
19.0,台湾,22,2,0,2020-02-17
5.0,澳门,10,5,0,2020-02-17
5.0,青海省,18,13,0,2020-02-17
0.0,西藏自治区,1,1,0,2020-02-17
