2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,cityName,cityName-en,distance-Wuhan,distance-Xiaogan,distance-Huanggang,distance-Suizhou,distance-Jingzhou,provinceName
,,,1.0,2.0,2.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,13.0,14.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,七台河,Qitaihe,2222.302032448614,2121.2717876192482,2198.653465930539,2170.1639416399016,2357.979149743697,黑龙江省
2.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,万宁,Wanning,1357.1832724866747,1495.7021032281011,1366.4054909863603,1462.1587473866143,1291.0788083669572,海南省
2.0,6.0,8.0,11.0,14.0,14.0,14.0,14.0,15.0,17.0,18.0,18.0,22.0,30.0,34.0,37.0,41.0,43.0,46.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,三亚,Sanya,1441.9405479889708,1576.3562319653802,1453.7603151383312,1540.6756667265363,1365.4908219107522,海南省
0.0,1.0,4.0,4.0,8.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,三明,Sanming,574.9576156611971,726.1626182201387,538.3425557998443,734.6561637916934,695.5621608864578,福建省
1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,三门峡,Sanmenxia,553.8110916444379,404.1032329452993,590.5200935485453,394.2730731514627,500.8161055446079,河南省
20.0,33.0,40.0,53.0,66.0,96.0,112.0,135.0,169.0,182.0,203.0,219.0,243.0,257.0,277.0,286.0,293.0,299.0,303.0,311.0,315.0,318.0,326.0,328.0,332.0,333.0,333.0,334.0,334.0,335.0,335.0,335.0,336.0,336.0,337.0,337.0,337.0,337.0,上海,Shanghai,689.9446181928546,722.6584113096238,638.1840077916015,771.6310572025357,889.5220036056145,上海市
,2.0,6.0,6.0,7.0,9.0,11.0,12.0,16.0,19.0,32.0,50.0,69.0,78.0,86.0,92.0,98.0,103.0,111.0,116.0,119.0,122.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,上饶,Shangrao,421.3796981679112,546.823033187774,371.6133037632992,570.3654419008544,592.9711627578155,江西省
,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,东方,Dongfang,1389.209335430093,1516.2210763629203,1405.5400912000453,1477.4481662949322,1297.3141739039017,海南省
,1.0,2.0,2.0,7.0,7.0,11.0,16.0,21.0,27.0,31.0,37.0,44.0,47.0,53.0,56.0,58.0,60.0,62.0,67.0,70.0,73.0,81.0,89.0,89.0,91.0,91.0,92.0,93.0,93.0,94.0,96.0,97.0,97.0,97.0,98.0,99.0,99.0,东莞,Dongguan,830.6558723863212,984.1407795094728,827.4401892784821,962.2962052337776,821.806605875955,广东省
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,,4.0,,中卫,Zhongwei,1144.467669999748,1011.1571934258836,1189.0609468787782,988.3768376195281,1028.9601871185807,宁夏回族自治区
2.0,2.0,2.0,5.0,6.0,13.0,18.0,18.0,18.0,21.0,25.0,31.0,36.0,44.0,46.0,46.0,51.0,56.0,58.0,62.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,中山,Zhongshan,891.1969916200428,1042.9165312641535,889.9607126154524,1019.185206479323,872.9945825560179,广东省
,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,,3.0,,3.0,临夏,Linxia,1178.8707027307098,1071.137825075041,1229.4390084770084,1036.1187241205337,1026.4097178175443,甘肃省
,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,临汾,Linfen,669.8024534057378,512.29184868301,699.7844956650894,514.0956993874037,641.1711823170051,山西省
2.0,3.0,7.0,7.0,8.0,16.0,16.0,23.0,23.0,24.0,25.0,28.0,30.0,32.0,35.0,40.0,40.0,42.0,44.0,45.0,45.0,47.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,临沂,Linyi,628.8375456610705,539.1407372474619,606.3098366924448,591.8705717592959,775.4306620604978,山东省
,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,临沧,Lincang,1586.8485939410539,1623.3263531889975,1632.6286719545858,1568.6135634190564,1399.0674786932454,云南省
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,临高,Lingao,1263.7911880184124,1395.7309107561446,1277.5179706688714,1359.1625282833231,1182.785891400984,海南省
,,1.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,8.0,丹东,Dandong,1402.797916966952,1309.1938091849124,1377.5414758114669,1359.9657799529243,1546.4335313604113,辽宁省
,,3.0,3.0,5.0,6.0,6.0,7.0,8.0,14.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,丽水,Lishui,590.362441421838,694.7664681428619,537.2290925757525,726.9784787474132,773.7817954356489,浙江省
1.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,丽江,Lijiang,1431.4918801057727,1438.2512682078516,1482.0893977537542,1383.4100154883201,1233.7198379192168,云南省
,,,,,,,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,乌兰察布,Wulanchabu,1170.2790162861277,1012.5847402651117,1184.8010127231976,1032.7648979903547,1188.6726274547684,内蒙古自治区
,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,乌海,Wuhai,1222.388360670944,1071.6440187135483,1258.846507648183,1062.7257482976775,1147.4614295835127,内蒙古自治区
,3.0,3.0,4.0,5.0,6.0,7.0,8.0,8.0,8.0,10.0,12.0,12.0,15.0,18.0,19.0,20.0,20.0,20.0,20.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,23.0,23.0,23.0,23.0,23.0,乌鲁木齐,Wulumuqi,2766.643857707664,2640.25231831751,2813.8202748960807,2614.2323394699642,2628.8717104057346,新疆维吾尔自治区
,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,乐东,Ledong,1405.2939560589791,1536.6042096631895,1419.1075039033174,1499.5724352680818,1322.1533058594437,海南省
,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,乐山,Leshan,1021.940622693212,1004.6871508326957,1075.2526611483943,950.8862981681086,822.3876553076,四川省
1.0,2.0,2.0,4.0,9.0,16.0,31.0,42.0,43.0,55.0,64.0,78.0,86.0,92.0,95.0,97.0,100.0,101.0,101.0,105.0,109.0,114.0,115.0,117.0,117.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,九江,Jiujiang,183.45468339149375,314.4462633083283,133.4010466647042,333.33921920502013,366.18024933245243,江西省
,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,五家渠,Wujiaqu,2801.760889127516,2673.252590520129,2848.350113933785,2648.337326577861,2667.1105165274216,新疆维吾尔自治区
1.0,4.0,6.0,6.0,8.0,15.0,20.0,20.0,25.0,30.0,39.0,48.0,58.0,66.0,72.0,81.0,87.0,92.0,92.0,97.0,100.0,106.0,107.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,亳州,Bozhou,396.87161536025815,278.7313721454005,390.2083531175086,328.5015903763386,515.6681790817445,安徽省
2.0,10.0,11.0,12.0,27.0,32.0,55.0,90.0,97.0,140.0,169.0,188.0,225.0,265.0,307.0,359.0,379.0,416.0,438.0,460.0,480.0,500.0,514.0,523.0,531.0,544.0,562.0,567.0,568.0,571.0,571.0,573.0,575.0,575.0,575.0,575.0,575.0,575.0,仙桃,Xiantao,92.12128078753062,187.04481915365034,143.43212484181285,157.86817296041,110.266851445973,湖北省
,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,任城监狱,Renchengjianyu,816.4875071545798,659.2988190711181,830.932596563691,681.4888226608773,844.2394970906346,山东省
,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,伊春,Yichun,2281.925211400575,2167.116098798084,2264.0086811161727,2212.6551644234223,2400.434981017166,黑龙江省
,,1.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,14.0,14.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,18.0,18.0,18.0,18.0,18.0,伊犁,Yili,3255.913471412269,3134.7499419974515,3304.4592083334464,3106.275964875001,3109.8159755300844,新疆维吾尔自治区
7.0,9.0,11.0,14.0,18.0,21.0,25.0,33.0,39.0,43.0,45.0,49.0,50.0,57.0,59.0,64.0,67.0,70.0,70.0,78.0,81.0,82.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,佛山,Foshan,836.2208943678581,986.0697612553982,837.2792124192141,960.8606642807634,811.5096408745352,广东省
,,,1.0,1.0,5.0,5.0,8.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,佳木斯,Jiamusi,2276.5916076286235,2169.56287149362,2255.3065959568416,2217.1099510338645,2405.2075499882335,黑龙江省
,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,保亭,Baoting,1395.8671277318488,1530.6076401685473,1407.5616616583975,1495.1344849520306,1320.4011724272818,海南省
,1.0,3.0,3.0,3.0,6.0,7.0,11.0,11.0,13.0,13.0,13.0,17.0,17.0,18.0,18.0,21.0,26.0,30.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,保定,Baoding,930.2651171337097,781.9508429710809,934.6291212693924,813.9598263199442,990.2639942356884,河北省
,,2.0,3.0,4.0,4.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,保山,Baoshan,1604.6459705006191,1624.8548820809076,1653.2078060170354,1569.8414671320934,1410.4765720272565,云南省
1.0,5.0,22.0,23.0,29.0,32.0,42.0,49.0,70.0,88.0,99.0,112.0,138.0,164.0,176.0,192.0,205.0,220.0,228.0,231.0,240.0,243.0,252.0,261.0,262.0,266.0,268.0,269.0,270.0,273.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,信阳,Xinyang,179.84600853598218,28.28707854091331,201.91097529778386,80.49182677981187,265.28688471167095,河南省
,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,儋州,Danzhou,1309.1585138303333,1440.0689021275214,1323.4062355106548,1402.9901238681955,1225.6595831616642,海南省
,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,公主岭,Gongzhuling,1734.3005964168308,1620.3671084857774,1716.6062059542533,1666.4830214082538,1854.4508785979558,吉林省
2.0,2.0,3.0,3.0,4.0,6.0,8.0,9.0,13.0,13.0,20.0,30.0,34.0,36.0,41.0,51.0,54.0,57.0,59.0,59.0,60.0,61.0,63.0,65.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,六安,Luan,247.43978402931103,245.15516807351673,210.5896850273211,294.8046638698161,434.12391153311955,安徽省
,,,1.0,1.0,1.0,1.0,8.0,,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,,10.0,,,,六盘水,Liupanshui,1025.6774147060926,1062.8052605165062,1072.2408430938628,1008.3039963460552,837.1784319844232,贵州省
1.0,2.0,4.0,8.0,11.0,14.0,14.0,15.0,23.0,23.0,26.0,30.0,30.0,30.0,32.0,33.0,33.0,33.0,35.0,35.0,35.0,,35.0,35.0,36.0,36.0,36.0,36.0,36.0,,36.0,36.0,,36.0,,36.0,,36.0,兰州,Lanzhou,1158.6308698140697,1044.6170764717845,1208.081916174934,1012.096151439749,1013.8615935624808,甘肃省
,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,兴安,Xingan,652.5961473855399,768.8893333209522,677.4252980926649,728.207316317292,547.0464325657297,内蒙古自治区
,1.0,1.0,1.0,3.0,4.0,4.0,6.0,10.0,11.0,12.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,18.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,内江,Neijiang,899.5962665480496,887.3684948089231,952.679501593545,833.1238037793244,699.8845237609879,四川省
,,,1.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,凉山,Liangshan,1206.7963024486792,1209.623700231278,1258.086206956647,1154.851546060079,1008.1319203314711,四川省
,,,2.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,7.0,9.0,9.0,10.0,10.0,11.0,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,11.0,11.0,11.0,11.0,11.0,包头,Baotou,1182.1793956844467,1022.8845144182293,1208.1283602367778,1029.0805125725826,1154.8986959114288,内蒙古自治区
36.0,41.0,68.0,80.0,91.0,111.0,114.0,139.0,168.0,191.0,212.0,228.0,253.0,274.0,297.0,315.0,326.0,337.0,342.0,352.0,366.0,372.0,375.0,380.0,381.0,387.0,393.0,395.0,396.0,399.0,399.0,399.0,400.0,400.0,410.0,410.0,411.0,413.0,北京,Beijing,1060.99616510963,916.8928465632677,1061.6246178240585,951.5259760977859,1130.627449819951,北京市
6.0,6.0,9.0,9.0,11.0,13.0,15.0,17.0,23.0,23.0,13.5,27.0,29.0,31.0,31.0,32.0,33.0,35.0,36.0,39.0,39.0,40.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,北海,Beihai,1126.8706925930517,1249.6436383457728,1146.117037318195,1209.6884369755596,1028.2121713893393,广西壮族自治区
6.0,6.0,9.0,9.0,11.0,13.0,15.0,17.0,23.0,23.0,13.5,27.0,29.0,31.0,31.0,32.0,33.0,35.0,36.0,39.0,39.0,40.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,北海,Beihai,1126.8706925930517,1249.6436383457728,1146.117037318195,1209.6884369755596,1028.2121713893393,青海省
1.0,5.0,20.0,40.0,65.0,88.0,119.0,150.0,177.0,212.0,256.0,291.0,318.0,353.0,395.0,438.0,467.0,481.0,505.0,536.0,562.0,586.0,597.0,602.0,612.0,626.0,638.0,643.0,656.0,659.0,667.0,669.0,671.0,671.0,671.0,671.0,671.0,672.0,十堰,Shiyan,409.1054019780315,304.83338304433346,458.3512927577738,265.152551001871,291.62607894972734,湖北省
3.0,4.0,7.0,7.0,10.0,14.0,19.0,25.0,28.0,35.0,40.0,44.0,47.0,52.0,57.0,65.0,71.0,78.0,84.0,87.0,90.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,南京,Nanjing,457.74895464522103,460.4347111330135,412.52906594027246,512.1859157695535,651.1868372528969,江苏省
,,2.0,2.0,4.0,5.0,9.0,11.0,16.0,23.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,南充,Nanchong,786.7621927037735,752.6557126971985,841.0753470044706,700.0711588656727,590.8862840640912,四川省
,,1.0,5.0,5.0,7.0,15.0,16.0,16.0,16.0,22.0,27.0,28.0,30.0,31.0,32.0,35.0,37.0,41.0,44.0,44.0,47.0,49.0,50.0,51.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,南宁,Nanning,1037.9705324287695,1147.096457493304,1063.9253731516314,1103.0678608924609,916.8609762922385,广西壮族自治区
,,1.0,2.0,3.0,3.0,3.0,3.0,8.0,8.0,11.0,11.0,12.0,12.0,12.0,14.0,16.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,南平,Nanping,511.3000801980555,650.3687318932955,466.77284064370855,667.4937425170019,661.6399934800262,福建省
